고유번호,법정동코드,공시지가,원천시도시군구코드
4413111600114620000,4413111600,812400,44130
4413111600114860000,4413111600,870800,44130
4413111600115170000,4413111600,933800,44130
4413111600115250000,4413111600,1213000,44130
4413111600116020000,4413111600,736100,44130
4413111600116900000,4413111600,1038000,44130
4413111600117030000,4413111600,835600,44130
4413111600117210000,4413111600,918100,44130
4413111600117540000,4413111600,774300,44130
4413111600118020000,4413111600,805900,44130
4413111600118030000,4413111600,766300,44130
4413111600118720000,4413111600,1732000,44130
4413111600118960000,4413111600,1521000,44130
4413111600119110000,4413111600,1433000,44130
4413111600119560000,4413111600,981600,44130
4413111600119960000,4413111600,746300,44130
4413111600120300000,4413111600,897100,44130
4413111700105480000,4413111700,1944000,44130
4413111700105560000,4413111700,819200,44130
4413111800100190000,4413111800,6420,44130
4413111800100230000,4413111800,14800,44130
4413111800100310000,4413111800,26300,44130
4413111800100360000,4413111800,19600,44130
4413111800100370000,4413111800,682300,44130
4413111800100380000,4413111800,431700,44130
4413111800100420000,4413111800,927900,44130
4413111800100430000,4413111800,322200,44130
4413111800100480000,4413111800,8020,44130
4413111800100500000,4413111800,17400,44130
4413111800100620000,4413111800,780400,44130
4413111800100720000,4413111800,1992000,44130
4413111800100760000,4413111800,1208000,44130
4413111800100770000,4413111800,544900,44130
4413111800100770000,4413111800,673100,44130
4413111800100850000,4413111800,1808000,44130
4413111800100890000,4413111800,1114000,44130
4413111800101470000,4413111800,746400,44130
4413111800101760000,4413111800,274800,44130
4413111800101880000,4413111800,654200,44130
4413111800101900000,4413111800,398900,44130
4413111800101910000,4413111800,394300,44130
4413111800101960000,4413111800,109900,44130
